Adresa,LocSort
G013705205,3103800
G013705206,3103800
G013705207,3103800
G013705208,3103800
G013705209,3104000
G013705210,3104000
G013705211,3104000
G013705212,3104000
G013705213,3104000
G013705214,3104000
G013705215,3104000
G013705216,3104000
G013705217,3104200
G013705218,3104200
G013705219,3104200
G013705220,3104200
G013705221,3104200
G013705222,3104200
G013705223,3104200
G013705224,3104200
G013705225,3104400
G013705226,3104400
G013705227,3104400
G013705228,3104400
G013705229,3104400
G013705230,3104400
G013705231,3104400
G013705232,3104400
G013705233,3104600
G013705234,3104600
G013705235,3104600
G013705236,3104600
G013705237,3104600
G013705238,3104600
G013705239,3104600
G013706200,3103600
G013706201,3103800
G013706202,3103800
G013706203,3103800
G013706204,3103800
G013706205,3103800
G013706206,3103800
G013706207,3103800
G013706208,3103800
G013706209,3104000
G013706210,3104000
G013706211,3104000
G013706212,3104000
G013706213,3104000
G013706214,3104000
G013706215,3104000
G013706216,3104000
G013706217,3104200
G013706218,3104200
G013706219,3104200
G013706220,3104200
G013706221,3104200
G013706222,3104200
G013706223,3104200
G013706224,3104200
G013706225,3104400
G013706226,3104400
G013706227,3104400
G013706228,3104400
G013706229,3104400
G013706230,3104400
G013706231,3104400
G013706232,3104400
G013706233,3104600
G013706234,3104600
G013706235,3104600
G013706236,3104600
G013706237,3104600
G013706238,3104600
G013706239,3104600
G013707200,3103600
G013707201,3103800
G013707202,3103800
G013707203,3103800
G013707204,3103800
G013707205,3103800
G013707206,3103800
G013707207,3103800
G013707208,3103800
G013707209,3104000
G013707210,3104000
G013707211,3104000
G013707212,3104000
G013707213,3104000
G013707214,3104000
G013707215,3104000
G013707216,3104000
G013707217,3104200
G013707218,3104200
G013707219,3104200
G013707220,3104200
G013707221,3104200
G013707222,3104200
G013707223,3104200
G013707224,3104200
G013707225,3104400
G013707226,3104400
G013707227,3104400
G013707228,3104400
G013707229,3104400
G013707230,3104400
G013707231,3104400
G013707232,3104400
G013707233,3104600
G013707234,3104600
G013707235,3104600
G013707236,3104600
G013707237,3104600
G013707238,3104600
G013707239,3104600
G013708200,3103600
G013708201,3103800
G013708202,3103800
G013708203,3103800
G013708204,3103800
G013708205,3103800
G013708206,3103800
G013708207,3103800
G013708208,3103800
G013708209,3104000
G013708210,3104000
G013708211,3104000
G013708212,3104000
G013708213,3104000
G013708214,3104000
G013708215,3104000
G013708216,3104000
G013708217,3104200
G013708218,3104200
G013708219,3104200
G013708220,3104200
G013708221,3104200
G013708222,3104200
G013708223,3104200
G013708224,3104200
G013708225,3104400
G013708226,3104400
G013708227,3104400
G013708228,3104400
G013708229,3104400
G013708230,3104400
G013708231,3104400
G013708232,3104400
G013708233,3104600
G013708234,3104600
G013708235,3104600
G013708236,3104600
G013708237,3104600
G013708238,3104600
G013708239,3104600
G013709200,3103600
G013709201,3103800
G013709202,3103800
G013709203,3103800
G013709204,3103800
G013709205,3103800
G013709206,3103800
G013709207,3103800
G013709208,3103800
G013709209,3104000
G013709210,3104000
G013709211,3104000
G013709212,3104000
G013709213,3104000
G013709214,3104000
G013709215,3104000
G013709216,3104000
G013709217,3104200
G013709218,3104200
G013709219,3104200
G013709220,3104200
G013709221,3104200
G013709222,3104200
G013709223,3104200
G013709224,3104200
G013709225,3104400
G013709226,3104400
G013709227,3104400
G013709228,3104400
G013709229,3104400
G013709230,3104400
G013709231,3104400
G013709232,3104400
G013709233,3104600
G013709234,3104600
G013709235,3104600
G013709236,3104600
G013709237,3104600
G013709238,3104600
G013709239,3104600
G023600200,2106100
G023600201,2105900
G023600202,2105900
G023600203,2105900
G023600204,2105900
G023600205,2105900
G023600206,2105900
G023600207,2105900
G023600208,2105900
G023600209,2105700
G023600210,2105700
G023600211,2105700
G023600212,2105700
G023600213,2105700
G023600214,2105700
G023600215,2105700
G023600216,2105700
G023600217,2105500
G023600218,2105500
G023600219,2105500
G023600220,2105500
G023600221,2105500
G023600222,2105500
G023600223,2105500
G023600224,2105500
G023600225,2105300
G023600226,2105300
G023600227,2105300
G023600228,2105300
G023600229,2105300
G023600230,2105300
G023600231,2105300
G023600232,2105300
G023600233,2105100
G023600234,2105100
G023600235,2105100
G023600236,2105100
G023600237,2105100
G023600238,2105100
G023600239,2105100
G023601200,2106100
G023601201,2105900
G023601202,2105900
G023601203,2105900
G023601204,2105900
G023601205,2105900
G023601206,2105900
G023601207,2105900
G023601208,2105900
G023601209,2105700
G023601210,2105700
G023601211,2105700
G023601212,2105700
G023601213,2105700
G023601214,2105700
G023601215,2105700
G023601216,2105700
G023601217,2105500
G023601218,2105500
G023601219,2105500
G023601220,2105500
G023601221,2105500
G023601222,2105500
G023601223,2105500
G023601224,2105500
G023601225,2105300
G023601226,2105300
G023601227,2105300
G023601228,2105300
G023601229,2105300
G023601230,2105300
G023601231,2105300
G023601232,2105300
G023601233,2105100
G023601234,2105100
G023601235,2105100
G023601236,2105100
G023601237,2105100
G023601238,2105100
G023601239,2105100
G023602200,2106100
G023602201,2105900
G023602202,2105900
G023602203,2105900
G023602204,2105900
G023602205,2105900
G023602206,2105900
G023602207,2105900
G023602208,2105900
G023602209,2105700
G023602210,2105700
G023602211,2105700
G023602212,2105700
G023602213,2105700
G023602214,2105700
G023602215,2105700
G023602216,2105700
G023602217,2105500
G023602218,2105500
G023602219,2105500
G023602220,2105500
G023602221,2105500
G023602222,2105500
G023602223,2105500
G023602224,2105500
G023602225,2105300
G023602226,2105300
G023602227,2105300
G023602228,2105300
G023602229,2105300
G023602230,2105300
G023602231,2105300
G023602232,2105300
G023602233,2105100
G023602234,2105100
G023602235,2105100
G023602236,2105100
G023602237,2105100
G023602238,2105100
G023602239,2105100
G023603200,2106100
G023603201,2105900
G023603202,2105900
G023603203,2105900
G023603204,2105900
G023603205,2105900
G023603206,2105900
G023603207,2105900
G023603208,2105900
G023603209,2105700
G023603210,2105700
G023603211,2105700
G023603212,2105700
G023603213,2105700
G023603214,2105700
G023603215,2105700
G023603216,2105700
G023603217,2105500
G023603218,2105500
G023603219,2105500
G023603220,2105500
G023603221,2105500
G023603222,2105500
G023603223,2105500
