Product,Unit,PackageType,ContentQty,X,Y,Z,Weight
127411,Unit,BA,1,22.5,5.8,17.7,0.372
127411,Car,BA,20,47.1,25.6,32,6.966
127412,Unit,BA,1,17.1,7.1,15.8,0.4
127516,Unit,BA,1,5.9,1.8,8,0.03
127550,Unit,BA,1,4,3,6,0.023
127570,Unit,BA,1,9.1,5,9.1,0.13
127571,Unit,BA,1,9,5.1,9,0.078
127572,Unit,BA,1,11.7,5.4,8.5,0.168
127574,Unit,BA,1,11.8,5.2,8.6,0.17
128599,Unit,BA,1,50,1,35,1.3
128599,Car,BA,10,51,16,36,13.7
128704,Unit,BA,1,8.2,4.4,10.8,0.052
128905,Unit,BA,1,10,3,3,0.1
128965,Unit,BA,1,13.1,3.1,14.8,0.108
128965,Car,BA,24,37.4,16.1,30.1,3.032
128968,Unit,BA,1,12.9,4.3,20.5,0.24
128968,Car,BA,20,36.5,22.9,22,5.214
128969,Car,BA,20,22,22.6,36.6,5.2
128969,Unit,BA,1,13,4.3,20.6,0.24
128970,Car,BA,20,36.9,22.7,21.8,5.132
128970,Unit,BA,1,12.9,4.3,20.5,0.238
128971,Unit,BA,1,12.9,4.3,20.4,0.23
128971,Car,BA,20,36.8,22.5,21.8,5.124
128972,Unit,BA,1,12.9,4.3,20.5,0.236
128972,Car,BA,20,36.5,22.9,21.9,5.132
128973,Unit,BA,1,13,4.4,20.6,0.244
128973,Car,BA,20,36.6,22.3,21.9,5.168
129103,Unit,BA,1,17.2,4.8,17.5,0.236
129142,Unit,BA,1,8.3,3.6,10,0.158
129147,Car,BA,40,57,40,28,11.583
129147,Unit,BA,1,30,6,10,0.3
129299,Unit,BA,1,18.2,4.4,15.8,0.126
129299,Car,BA,60,47,30,30,9.17
129300,Car,BA,2000,37,18,20,17.23
129300,Unit,BA,1,8.6,4.1,15,0.422
129865,Unit,BA,1,20,2,20,0.2
129900,Unit,BA,1,12,4.8,12.5,0.522
129966,Unit,BA,1,48.6,5.8,9.1,1.728
129967,Unit,BA,1,5.9,5.2,51.3,1.886
130178,Unit,BA,1,18.4,2.5,9.6,0.066
130189,Car,BA,400,47,31,31,8.95
130189,Unit,BA,1,15.5,2.7,19.4,0.02
130190,Unit,BA,1,15.1,6.1,18.1,0.03
130191,Car,BA,100,46,25,32,5.92
130191,Unit,BA,1,21.7,2.3,16.6,0.052
130192,Unit,BA,1,15.7,2.8,18.8,0.064
130193,Unit,BA,1,20.4,4.8,25.3,0.108
130194,Unit,BA,1,20.3,4.6,24.6,0.148
130194,Car,BA,60,46,30,30,8.5
130195,Car,BA,50,47,32,32,27.5
130195,Unit,BA,1,17.5,7.5,20.1,0.23
130196,Car,BA,40,47,30,32,13.69
130196,Unit,BA,1,19,3,19,0.4
130197,Unit,BA,1,20,6,20,0.8
130199,Unit,BA,1,12,1,12,0.024
130200,Unit,BA,1,12,1,12,0.05
130201,Car,BA,100,47,24,30,14.62
130201,Unit,BA,1,21.4,3.1,15,0.056
130202,Unit,BA,1,15.8,4.4,16.6,0.082
130203,Unit,BA,1,15.8,4.3,20,0.128
130204,Unit,BA,1,25.9,5.5,20.4,0.166
130216,Unit,BA,1,16,5,16,0.39
130217,Car,BA,15,47.2,26.1,30.8,7.394
130217,Unit,BA,1,19.7,7.3,17.2,0.47
130352,Unit,BA,1,16.9,7,16.6,0.572
130352,Car,BA,12,51.8,18.6,29.5,7.29
130393,Unit,BA,1,14.4,6.7,15.2,0.374
130393,Car,BA,30,47.9,30.4,33,11.816
130427,Car,BA,50,14.8,11,25.5,0.914
130427,Unit,BA,1,4.4,3,7.5,0.018
130465,Car,BA,72,47,22,33,4.1
130465,Unit,BA,1,10,3.4,14,0.046
130576,Unit,BA,1,10.4,3,26.4,0.518
130581,Unit,BA,1,19.7,4.3,15.9,0.018
130582,Unit,BA,1,19,2,16.5,0.018
130583,Unit,BA,1,17.7,2,15.5,0.074
130584,Unit,BA,1,12.4,2.2,16.5,0.02
130585,Unit,BA,1,14.8,2.2,19.8,0.02
130586,Unit,BA,1,14.3,4.3,20.3,0.034
130587,Car,BA,200,46,25,30,6.55
130587,Unit,BA,1,15.8,3.2,21,0.026
130588,Unit,BA,1,15.1,1.8,21.8,0.024
130588,Car,BA,250,46,25,30,7.641
130589,Unit,BA,1,17.6,1.8,16.5,0.032
130590,Unit,BA,1,15.6,2.6,18,0.028
130596,Car,BA,200,47,30,30,10.14
130596,Unit,BA,1,15.4,3.2,20.4,0.046
130597,Unit,BA,1,15.9,2.3,18.5,0.044
130598,Unit,BA,1,14.7,2.7,17.8,0.048
130599,Unit,BA,1,12,2,12,0.1
130600,Unit,BA,1,15.2,2.8,14.4,0.042
130600,Car,BA,200,46,30,31,10.25
130601,Unit,BA,1,14.7,4,13.4,0.054
130601,Car,BA,100,47,26,30,6.95
130602,Unit,BA,1,19.5,3,15.3,0.056
130603,Car,BA,100,46,25,31,7.1
130603,Unit,BA,1,15,3,15,0.07
130604,Unit,BA,1,12.9,2.7,15.6,0.064
130605,Car,BA,100,46,30.5,24.5,7.028
130605,Unit,BA,1,14.9,3.4,17.9,0.068
130606,Car,BA,50,47,25,31,5.85
130606,Unit,BA,1,14.1,6,17.5,0.106
130607,Unit,BA,1,20.3,3.3,27.2,0.094
130608,Car,BA,50,47,26,31,6.1
130608,Unit,BA,1,14,2.5,14,0.107
130609,Unit,BA,1,20.1,4.4,25.3,0.108
130610,Unit,BA,1,17.6,4.4,16,0.094
